Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power_W,Temp_Diff_K,Strain_Load,Machine failure,UDI,Product ID,TWF,HDF,PWF,OSF,RNF
H,304.2,313.5,1627,32.2,91,5486.205138865904,9.300000000000011,2930.2000000000003,0,10077,S60076,0.0,0.0,0.0,0.0,0.0
M,301.5,310.7,1347,47.9,29,6756.654736002104,9.199999999999989,1389.1,0,10078,S60077,0.0,0.0,0.0,0.0,0.0
L,297.8,308.9,1530,37.6,106,6024.318072523787,11.099999999999966,3985.6,0,10079,S60078,0.0,0.0,0.0,0.0,0.0
L,297.0,307.8,1500,39.9,175,6267.477343911637,10.800000000000011,6982.5,0,10080,S60079,0.0,0.0,0.0,0.0,0.0
M,300.3,311.7,1319,51.4,170,7099.643349945526,11.399999999999975,8738.0,0,10081,S60080,0.0,0.0,0.0,0.0,0.0
M,302.5,311.9,1524,34.8,86,5553.8331567221785,9.399999999999975,2992.8,0,10082,S60081,0.0,0.0,0.0,0.0,0.0
M,299.4,309.0,1381,44.9,88,6493.34738372923,9.600000000000025,3951.2,0,10083,S60082,0.0,0.0,0.0,0.0,0.0
L,299.0,309.1,1394,45.1,179,6583.668172519939,10.100000000000025,8072.900000000001,0,10084,S60083,0.0,0.0,0.0,0.0,0.0
M,298.8,310.0,1484,44.9,80,6977.644835231123,11.199999999999989,3592.0,0,10085,S60084,0.0,0.0,0.0,0.0,0.0
H,299.9,309.6,1462,51.0,119,7808.114381232071,9.700000000000044,6069.0,0,10086,S60085,0.0,0.0,0.0,0.0,0.0
L,302.2,311.8,1618,36.0,158,6099.716296209942,9.600000000000025,5688.0,0,10087,S60086,0.0,0.0,0.0,0.0,0.0
M,299.4,309.3,1485,47.1,209,7324.466192211924,9.900000000000034,9843.9,0,10088,S60087,0.0,0.0,0.0,0.0,0.0
M,299.9,309.4,1399,54.8,3,8028.36097019974,9.5,164.39999999999998,0,10089,S60088,0.0,0.0,0.0,0.0,0.0
L,302.8,312.2,1746,27.4,44,5009.834972826571,9.399999999999975,1205.6,0,10090,S60089,0.0,0.0,0.0,0.0,0.0
L,301.5,311.1,2055,16.8,105,3615.3448257511336,9.600000000000025,1764.0,0,10091,S60090,0.0,0.0,0.0,0.0,0.0
L,300.5,310.5,1452,42.9,29,6523.077322207703,10.0,1244.1,0,10092,S60091,0.0,0.0,0.0,0.0,0.0
L,297.3,308.5,1350,57.6,186,8143.008158104744,11.199999999999989,10713.6,0,10093,S60092,0.0,0.0,0.0,0.0,0.0
M,301.0,311.1,1420,47.4,167,7048.47727759406,10.100000000000025,7915.8,0,10094,S60093,0.0,0.0,0.0,0.0,0.0
M,302.2,311.5,1443,47.0,90,7102.198511970446,9.300000000000011,4230.0,0,10095,S60094,0.0,0.0,0.0,0.0,0.0
L,300.6,310.2,1378,47.3,71,6825.570806846352,9.599999999999966,3358.3,0,10096,S60095,0.0,0.0,0.0,0.0,0.0
L,300.3,309.6,1435,45.4,181,6822.387326290715,9.300000000000011,8217.4,0,10097,S60096,0.0,0.0,0.0,0.0,0.0
L,301.4,310.8,1770,24.1,112,4467.030594139327,9.400000000000034,2699.2000000000003,0,10098,S60097,0.0,0.0,0.0,0.0,0.0
L,297.2,308.5,1471,41.7,41,6423.583082868515,11.300000000000011,1709.7,0,10099,S60098,0.0,0.0,0.0,0.0,0.0
L,300.2,309.4,1527,37.0,194,5916.561444505657,9.199999999999989,7178.0,0,10100,S60099,0.0,0.0,0.0,0.0,0.0
L,300.3,311.8,1746,26.3,187,4808.710211143753,11.5,4918.1,0,10101,S60100,0.0,0.0,0.0,0.0,0.0
L,298.8,308.6,1631,32.4,38,5533.852627445348,9.800000000000011,1231.2,0,10102,S60101,0.0,0.0,0.0,0.0,0.0
L,298.4,309.3,1409,43.1,166,6359.410816931186,10.900000000000034,7154.6,0,10103,S60102,0.0,0.0,0.0,0.0,0.0
M,300.2,309.5,1642,28.8,92,4952.155331706662,9.300000000000011,2649.6,0,10104,S60103,0.0,0.0,0.0,0.0,0.0
H,298.6,309.7,1672,27.5,54,4815.014340401957,11.099999999999966,1485.0,0,10105,S60104,0.0,0.0,0.0,0.0,0.0
L,303.8,313.2,1336,47.8,176,6687.487337745569,9.399999999999975,8412.8,0,10106,S60105,0.0,0.0,0.0,0.0,0.0
L,299.0,310.3,1431,39.9,157,5979.173386091701,11.300000000000011,6264.3,0,10107,S60106,0.0,0.0,0.0,0.0,0.0
L,302.3,311.5,1395,54.2,198,7917.755964842355,9.199999999999989,10731.6,0,10108,S60107,0.0,0.0,0.0,0.0,0.0
L,296.7,307.7,1927,23.9,112,4822.899737962466,11.0,2676.8,0,10109,S60108,0.0,0.0,0.0,0.0,0.0
L,300.6,311.7,1428,52.6,208,7865.794022351981,11.099999999999966,10940.8,0,10110,S60109,0.0,0.0,0.0,0.0,0.0
L,297.6,309.5,1924,20.6,37,4150.504662314644,11.899999999999975,762.2,0,10111,S60110,0.0,0.0,0.0,0.0,0.0
M,300.2,310.2,1429,43.8,54,6554.430416890528,10.0,2365.2,0,10112,S60111,0.0,0.0,0.0,0.0,0.0
M,297.5,308.0,2033,16.7,128,3555.35087804308,10.5,2137.6,0,10113,S60112,0.0,0.0,0.0,0.0,0.0
L,299.8,309.7,1429,42.6,127,6374.856980811337,9.899999999999975,5410.2,0,10114,S60113,0.0,0.0,0.0,0.0,0.0
M,303.4,311.4,1606,29.6,122,4978.125830976339,8.0,3611.2,0,10115,S60114,0.0,0.0,0.0,0.0,0.0
M,298.3,308.6,1589,37.1,137,6173.428531838671,10.300000000000011,5082.7,0,10116,S60115,0.0,0.0,0.0,0.0,0.0
L,302.9,312.3,1530,34.9,185,5591.720764124472,9.400000000000034,6456.5,0,10117,S60116,0.0,0.0,0.0,0.0,0.0
L,301.3,310.8,1390,57.4,164,8355.170381977174,9.5,9413.6,0,10118,S60117,0.0,0.0,0.0,0.0,0.0
M,301.0,312.0,1499,34.6,207,5431.331987183202,11.0,7162.200000000001,0,10119,S60118,0.0,0.0,0.0,0.0,0.0
H,299.9,310.3,1535,43.9,154,7056.697778370953,10.400000000000034,6760.599999999999,0,10120,S60119,0.0,0.0,0.0,0.0,0.0
H,298.1,309.1,1425,44.5,49,6640.541471525426,11.0,2180.5,0,10121,S60120,0.0,0.0,0.0,0.0,0.0
M,299.7,311.1,1618,30.3,125,5133.927882643368,11.400000000000034,3787.5,0,10122,S60121,0.0,0.0,0.0,0.0,0.0
L,295.8,306.4,1356,48.0,99,6815.999421228414,10.599999999999966,4752.0,0,10123,S60122,0.0,0.0,0.0,0.0,0.0
L,300.7,309.5,1479,43.6,240,6752.790577038189,8.800000000000011,10464.0,0,10124,S60123,0.0,0.0,0.0,0.0,0.0
H,300.8,311.7,1468,38.7,39,5949.296839956064,10.899999999999975,1509.3000000000002,0,10125,S60124,0.0,0.0,0.0,0.0,0.0
L,297.2,308.1,1474,44.3,152,6838.011513754568,10.900000000000034,6733.599999999999,0,10126,S60125,0.0,0.0,0.0,0.0,0.0
L,303.3,312.5,1968,20.6,130,4245.422648355103,9.199999999999989,2678.0,0,10127,S60126,0.0,0.0,0.0,0.0,0.0
L,301.3,310.8,1719,29.5,62,5310.391141995508,9.5,1829.0,0,10128,S60127,0.0,0.0,0.0,0.0,0.0
H,298.0,307.6,1593,32.2,118,5371.5579509609,9.600000000000025,3799.6,0,10129,S60128,0.0,0.0,0.0,0.0,0.0
L,300.6,312.2,1308,54.7,52,7492.447151399369,11.599999999999966,2844.4,0,10130,S60129,0.0,0.0,0.0,0.0,0.0
M,301.5,310.4,1486,39.6,144,6162.2968218694505,8.899999999999977,5702.400000000001,0,10131,S60130,0.0,0.0,0.0,0.0,0.0
L,300.2,310.2,1530,48.5,15,7770.729428654353,10.0,727.5,0,10132,S60131,0.0,0.0,0.0,0.0,0.0
M,298.3,307.8,1457,52.5,98,8010.275868490575,9.5,5145.0,0,10133,S60132,0.0,0.0,0.0,0.0,0.0
L,301.5,310.6,1522,41.0,114,6534.722158977009,9.100000000000025,4674.0,0,10134,S60133,0.0,0.0,0.0,0.0,0.0
M,303.5,312.3,1624,34.8,121,5918.257904538596,8.800000000000011,4210.799999999999,0,10135,S60134,0.0,0.0,0.0,0.0,0.0
L,297.0,307.8,1683,32.3,197,5692.660136084313,10.800000000000011,6363.099999999999,0,10136,S60135,0.0,0.0,0.0,0.0,0.0
M,300.8,311.4,1852,22.2,53,4305.48989989174,10.599999999999966,1176.6,0,10137,S60136,0.0,0.0,0.0,0.0,0.0
L,300.8,309.4,1489,38.4,109,5987.6242703298585,8.599999999999966,4185.599999999999,0,10138,S60137,0.0,0.0,0.0,0.0,0.0
L,300.9,310.8,1517,44.3,4,7037.492175282007,9.900000000000034,177.2,0,10139,S60138,0.0,0.0,0.0,0.0,0.0
L,299.8,309.2,1491,47.5,216,7416.514856962104,9.399999999999975,10260.0,0,10140,S60139,0.0,0.0,0.0,0.0,0.0
L,302.3,311.4,1609,32.3,49,5442.358977397302,9.099999999999966,1582.6999999999998,0,10141,S60140,0.0,0.0,0.0,0.0,0.0
M,298.9,309.6,1284,55.3,166,7435.647156222465,10.700000000000044,9179.8,0,10142,S60141,0.0,0.0,0.0,0.0,0.0
L,302.5,311.9,1497,41.6,123,6521.4436940278365,9.399999999999975,5116.8,0,10143,S60142,0.0,0.0,0.0,0.0,0.0
L,298.2,307.8,1749,26.1,66,4780.341629481837,9.600000000000025,1722.6,0,10144,S60143,0.0,0.0,0.0,0.0,0.0
L,301.4,311.1,1462,37.1,41,5680.02046164137,9.700000000000044,1521.1,0,10145,S60144,0.0,0.0,0.0,0.0,0.0
M,300.7,311.8,1407,42.4,224,6247.245487222519,11.100000000000025,9497.6,0,10146,S60145,0.0,0.0,0.0,0.0,0.0
L,298.5,310.2,1676,32.7,18,5739.187123283978,11.699999999999989,588.6,0,10147,S60146,0.0,0.0,0.0,0.0,0.0
L,300.8,310.6,1663,30.6,139,5328.957954578223,9.800000000000011,4253.400000000001,0,10148,S60147,0.0,0.0,0.0,0.0,0.0
L,300.9,311.1,1457,37.4,96,5706.367952029477,10.200000000000044,3590.4,0,10149,S60148,0.0,0.0,0.0,0.0,0.0
L,298.1,309.0,1502,40.9,153,6433.123052559914,10.899999999999975,6257.7,0,10150,S60149,0.0,0.0,0.0,0.0,0.0
H,299.9,311.3,1413,41.8,153,6185.104784534513,11.400000000000034,6395.4,0,10151,S60150,0.0,0.0,0.0,0.0,0.0
L,298.0,309.1,1820,23.6,120,4497.922921899627,11.100000000000025,2832.0,0,10152,S60151,0.0,0.0,0.0,0.0,0.0
L,301.3,311.1,1624,40.9,0,6955.653686655993,9.800000000000011,0.0,0,10153,S60152,0.0,0.0,0.0,0.0,0.0
L,301.7,311.1,1455,39.8,118,6064.2162992243775,9.400000000000034,4696.4,0,10154,S60153,0.0,0.0,0.0,0.0,0.0
L,302.9,311.0,1820,24.6,128,4688.512876217408,8.100000000000023,3148.8,0,10155,S60154,0.0,0.0,0.0,0.0,0.0
L,302.5,311.2,1227,60.1,167,7722.317485862534,8.699999999999989,10036.7,0,10156,S60155,0.0,0.0,0.0,0.0,0.0
M,297.7,309.0,1656,33.2,20,5757.408360674799,11.300000000000011,664.0,0,10157,S60156,0.0,0.0,0.0,0.0,0.0
M,299.4,309.2,1470,44.4,135,6834.848977149954,9.800000000000011,5994.0,0,10158,S60157,0.0,0.0,0.0,0.0,0.0
L,298.7,310.1,1558,37.6,44,6134.567030713765,11.400000000000034,1654.4,0,10159,S60158,0.0,0.0,0.0,0.0,0.0
L,298.4,309.1,1798,29.6,81,5573.26914327239,10.700000000000044,2397.6,0,10160,S60159,0.0,0.0,0.0,0.0,0.0
H,301.5,310.8,1474,38.7,58,5973.612767094849,9.300000000000011,2244.6000000000004,0,10161,S60160,0.0,0.0,0.0,0.0,0.0
L,302.6,311.5,1599,37.0,211,6195.534872144431,8.899999999999977,7807.0,0,10162,S60161,0.0,0.0,0.0,0.0,0.0
L,302.7,312.1,1763,26.5,184,4892.454599312945,9.400000000000034,4876.0,0,10163,S60162,0.0,0.0,0.0,0.0,0.0
M,298.0,307.6,1569,35.6,173,5849.268529865764,9.600000000000025,6158.8,0,10164,S60163,0.0,0.0,0.0,0.0,0.0
L,301.1,311.2,1910,20.2,41,4040.297592026713,10.099999999999966,828.1999999999999,0,10165,S60164,0.0,0.0,0.0,0.0,0.0
L,298.9,310.2,1411,46.5,202,6870.820213033557,11.300000000000011,9393.0,0,10166,S60165,0.0,0.0,0.0,0.0,0.0
L,302.3,311.7,1510,38.7,141,6119.5083299275575,9.399999999999975,5456.700000000001,0,10167,S60166,0.0,0.0,0.0,0.0,0.0
L,300.4,311.7,1373,47.2,3,6786.426562382623,11.300000000000011,141.60000000000002,0,10168,S60167,0.0,0.0,0.0,0.0,0.0
L,300.2,311.0,1627,33.7,147,5741.773701235434,10.800000000000011,4953.900000000001,0,10169,S60168,0.0,0.0,0.0,0.0,0.0
M,297.8,307.3,1804,26.0,222,4911.775394132522,9.5,5772.0,0,10170,S60169,0.0,0.0,0.0,0.0,0.0
L,302.3,310.9,1587,36.6,20,6082.563200321341,8.599999999999966,732.0,0,10171,S60170,0.0,0.0,0.0,0.0,0.0
H,297.4,308.6,1420,45.8,120,6810.553993962192,11.200000000000044,5496.0,0,10172,S60171,0.0,0.0,0.0,0.0,0.0
M,303.9,312.7,1485,43.3,174,6733.532614071683,8.800000000000011,7534.2,0,10173,S60172,0.0,0.0,0.0,0.0,0.0
L,295.9,306.4,1575,28.5,74,4700.608007933728,10.5,2109.0,0,10174,S60173,0.0,0.0,0.0,0.0,0.0
M,298.5,309.7,1523,44.6,83,7113.173142306986,11.199999999999989,3701.8,0,10175,S60174,0.0,0.0,0.0,0.0,0.0
L,300.7,310.8,1925,22.0,74,4434.881629317591,10.100000000000025,1628.0,0,10176,S60175,0.0,0.0,0.0,0.0,0.0
M,300.7,311.8,1407,42.4,224,6247.245487222519,11.100000000000025,9497.6,0,10177,S60176,0.0,0.0,0.0,0.0,0.0
M,301.1,310.7,1367,43.4,111,6212.79268778815,9.599999999999966,4817.4,0,10178,S60177,0.0,0.0,0.0,0.0,0.0
M,302.9,312.5,1924,24.0,17,4835.53941240541,9.600000000000025,408.0,0,10179,S60178,0.0,0.0,0.0,0.0,0.0
L,302.6,312.4,1386,45.8,38,6647.484391289857,9.799999999999956,1740.4,0,10180,S60179,0.0,0.0,0.0,0.0,0.0
L,298.2,307.5,1470,51.3,180,7897.021453328663,9.300000000000011,9234.0,0,10181,S60180,0.0,0.0,0.0,0.0,0.0
H,300.9,311.0,1853,23.6,122,4579.478667186818,10.100000000000025,2879.2000000000003,0,10182,S60181,0.0,0.0,0.0,0.0,0.0
L,301.7,311.3,1584,38.8,132,6435.992373850194,9.600000000000025,5121.599999999999,0,10183,S60182,0.0,0.0,0.0,0.0,0.0
L,304.1,313.3,1470,39.9,70,6142.127797033404,9.199999999999989,2793.0,0,10184,S60183,0.0,0.0,0.0,0.0,0.0
L,301.7,310.5,1354,50.0,169,7089.527421600967,8.800000000000011,8450.0,0,10185,S60184,0.0,0.0,0.0,0.0,0.0
L,298.4,308.7,1523,36.1,126,5757.523552405431,10.300000000000011,4548.6,0,10186,S60185,0.0,0.0,0.0,0.0,0.0
L,302.0,309.7,1551,34.8,207,5652.227838632612,7.699999999999989,7203.599999999999,0,10187,S60186,0.0,0.0,0.0,0.0,0.0
M,298.2,308.9,1414,44.3,68,6559.666404646511,10.699999999999989,3012.4,0,10188,S60187,0.0,0.0,0.0,0.0,0.0
M,302.9,311.1,1926,21.8,58,4396.847414258131,8.200000000000045,1264.4,0,10189,S60188,0.0,0.0,0.0,0.0,0.0
M,299.2,308.5,1526,37.3,135,5960.6275174600105,9.300000000000011,5035.5,0,10190,S60189,0.0,0.0,0.0,0.0,0.0
M,298.8,310.0,1295,52.7,74,7146.756767773861,11.199999999999989,3899.8,0,10191,S60190,0.0,0.0,0.0,0.0,0.0
L,300.4,309.7,1488,35.7,177,5562.880943564519,9.300000000000011,6318.900000000001,0,10192,S60191,0.0,0.0,0.0,0.0,0.0
L,300.3,311.7,1571,31.2,123,5132.859741141147,11.399999999999975,3837.6,0,10193,S60192,0.0,0.0,0.0,0.0,0.0
L,298.4,308.5,1741,32.8,112,5980.000672157147,10.100000000000025,3673.6,0,10194,S60193,0.0,0.0,0.0,0.0,0.0
L,299.9,310.9,1292,51.1,173,6913.723896706082,11.0,8840.300000000001,0,10195,S60194,0.0,0.0,0.0,0.0,0.0
L,298.0,307.6,1385,45.0,158,6526.658737832796,9.600000000000025,7110.0,0,10196,S60195,0.0,0.0,0.0,0.0,0.0
M,301.5,310.6,1638,31.9,137,5471.837588463486,9.100000000000025,4370.3,0,10197,S60196,0.0,0.0,0.0,0.0,0.0
L,297.4,308.4,1580,41.2,66,6816.837179269373,11.0,2719.2000000000003,0,10198,S60197,0.0,0.0,0.0,0.0,0.0
M,299.0,310.1,1593,35.4,5,5905.377374658877,11.100000000000025,177.0,0,10199,S60198,0.0,0.0,0.0,0.0,0.0
L,302.4,310.1,1401,48.8,177,7159.563993824994,7.700000000000045,8637.6,0,10200,S60199,0.0,0.0,0.0,0.0,0.0
L,299.5,309.3,1523,41.5,181,6618.759762460537,9.800000000000011,7511.5,0,10201,S60200,0.0,0.0,0.0,0.0,0.0
L,297.9,309.2,1478,39.7,10,6144.5991832542295,11.300000000000011,397.0,0,10202,S60201,0.0,0.0,0.0,0.0,0.0
L,300.6,309.6,1409,42.4,57,6256.125722456666,9.0,2416.8,0,10203,S60202,0.0,0.0,0.0,0.0,0.0
L,299.7,310.3,1495,43.1,101,6747.565061257717,10.600000000000025,4353.1,0,10204,S60203,0.0,0.0,0.0,0.0,0.0
M,300.8,310.6,1545,37.5,155,6067.200812245288,9.800000000000011,5812.5,0,10205,S60204,0.0,0.0,0.0,0.0,0.0
L,298.7,309.2,1586,31.4,180,5215.085692861105,10.5,5652.0,0,10206,S60205,0.0,0.0,0.0,0.0,0.0
M,299.0,308.9,1449,39.6,105,6008.861436668127,9.899999999999975,4158.0,0,10207,S60206,0.0,0.0,0.0,0.0,0.0
H,297.3,308.3,1461,41.5,108,6349.315832537652,11.0,4482.0,0,10208,S60207,0.0,0.0,0.0,0.0,0.0
L,300.7,309.8,1596,31.5,123,5264.680968885775,9.100000000000025,3874.5,0,10209,S60208,0.0,0.0,0.0,0.0,0.0
L,298.5,308.1,1662,28.6,48,4977.665064053812,9.600000000000025,1372.8000000000002,0,10210,S60209,0.0,0.0,0.0,0.0,0.0
H,297.9,307.5,1880,23.3,146,4587.144153261576,9.600000000000025,3401.8,0,10211,S60210,0.0,0.0,0.0,0.0,0.0
M,297.1,307.9,1609,38.9,166,6554.4199449150165,10.799999999999956,6457.4,0,10212,S60211,0.0,0.0,0.0,0.0,0.0
L,300.1,309.2,1421,42.5,61,6324.287811064053,9.099999999999966,2592.5,0,10213,S60212,0.0,0.0,0.0,0.0,0.0
L,298.7,308.5,1616,30.2,34,5110.65915305578,9.800000000000011,1026.8,0,10214,S60213,0.0,0.0,0.0,0.0,0.0
H,300.8,310.8,1618,32.8,40,5557.519292102391,10.0,1312.0,0,10215,S60214,0.0,0.0,0.0,0.0,0.0
M,300.7,311.0,1559,42.8,121,6987.446604310322,10.300000000000011,5178.799999999999,0,10216,S60215,0.0,0.0,0.0,0.0,0.0
L,299.4,308.9,1440,42.5,87,6408.849013323178,9.5,3697.5,0,10217,S60216,0.0,0.0,0.0,0.0,0.0
L,303.9,312.6,1426,53.4,172,7974.2418007539,8.700000000000045,9184.8,0,10218,S60217,0.0,0.0,0.0,0.0,0.0
L,297.6,307.2,1486,40.6,42,6317.910377977266,9.599999999999966,1705.2,0,10219,S60218,0.0,0.0,0.0,0.0,0.0
M,298.7,309.8,1475,40.5,59,6255.6963714606745,11.100000000000025,2389.5,0,10220,S60219,0.0,0.0,0.0,0.0,0.0
L,299.0,310.3,1577,40.0,181,6605.722152948138,11.300000000000011,7240.0,0,10221,S60220,0.0,0.0,0.0,0.0,0.0
L,300.9,311.5,1505,41.1,129,6477.492812804116,10.600000000000025,5301.900000000001,0,10222,S60221,0.0,0.0,0.0,0.0,0.0
L,301.7,311.2,1521,36.7,130,5845.530034607992,9.5,4771.0,0,10223,S60222,0.0,0.0,0.0,0.0,0.0
M,302.5,311.0,1463,43.1,181,6603.135574996684,8.5,7801.1,0,10224,S60223,0.0,0.0,0.0,0.0,0.0
L,298.1,308.0,1652,28.5,63,4930.415510543822,9.899999999999975,1795.5,0,10225,S60224,0.0,0.0,0.0,0.0,0.0
M,301.5,310.6,1638,31.9,137,5471.837588463486,9.100000000000025,4370.3,0,10226,S60225,0.0,0.0,0.0,0.0,0.0
L,297.7,308.7,1731,28.4,104,5148.065049584521,11.0,2953.6,0,10227,S60226,0.0,0.0,0.0,0.0,0.0
L,299.3,310.6,1443,45.7,97,6905.754723341476,11.300000000000011,4432.900000000001,0,10228,S60227,0.0,0.0,0.0,0.0,0.0
M,299.3,309.1,1376,46.7,49,6729.207688185242,9.800000000000011,2288.3,0,10229,S60228,0.0,0.0,0.0,0.0,0.0
L,302.2,311.6,1462,50.0,51,7655.01409924713,9.400000000000034,2550.0,0,10230,S60229,0.0,0.0,0.0,0.0,0.0
M,303.6,312.0,1645,35.7,81,6149.8246990347,8.399999999999977,2891.7000000000003,0,10231,S60230,0.0,0.0,0.0,0.0,0.0
L,300.1,309.3,1685,27.1,203,4781.870537906584,9.199999999999989,5501.3,0,10232,S60231,0.0,0.0,0.0,0.0,0.0
L,300.0,311.5,1601,36.9,35,6186.518501228627,11.5,1291.5,0,10233,S60232,0.0,0.0,0.0,0.0,0.0
L,300.6,311.6,1964,21.4,15,4401.329419777252,11.0,321.0,0,10234,S60233,0.0,0.0,0.0,0.0,0.0
M,301.0,309.7,1511,39.3,146,6218.499914442172,8.699999999999989,5737.799999999999,0,10235,S60234,0.0,0.0,0.0,0.0,0.0
L,299.2,308.9,1368,47.2,175,6761.712700174384,9.699999999999989,8260.0,0,10236,S60235,0.0,0.0,0.0,0.0,0.0
M,297.4,308.6,1522,38.0,33,6056.571757100643,11.200000000000044,1254.0,0,10237,S60236,0.0,0.0,0.0,0.0,0.0
L,303.7,311.9,1561,33.3,153,5443.469006801571,8.199999999999989,5094.9,0,10238,S60237,0.0,0.0,0.0,0.0,0.0
L,301.4,310.6,1550,36.8,159,5973.214832025393,9.200000000000044,5851.2,0,10239,S60238,0.0,0.0,0.0,0.0,0.0
H,300.5,310.0,1358,60.4,102,8589.449418130878,9.5,6160.8,0,10240,S60239,0.0,0.0,0.0,0.0,0.0
L,298.0,307.5,1618,35.2,31,5964.167045183055,9.5,1091.2,0,10241,S60240,0.0,0.0,0.0,0.0,0.0
M,301.8,311.3,1542,40.1,142,6475.262282020067,9.5,5694.2,0,10242,S60241,0.0,0.0,0.0,0.0,0.0
L,298.6,308.2,1705,26.3,177,4695.790899198224,9.599999999999966,4655.1,0,10243,S60242,0.0,0.0,0.0,0.0,0.0
L,301.8,309.6,1432,43.7,138,6553.194723780118,7.800000000000011,6030.6,0,10244,S60243,0.0,0.0,0.0,0.0,0.0
M,297.4,308.7,1392,46.4,174,6763.7233194726805,11.300000000000011,8073.599999999999,0,10245,S60244,0.0,0.0,0.0,0.0,0.0
H,299.7,309.5,1375,46.8,86,6738.7162419501055,9.800000000000011,4024.8,0,10246,S60245,0.0,0.0,0.0,0.0,0.0
L,301.4,311.1,1462,37.1,41,5680.02046164137,9.700000000000044,1521.1,0,10247,S60246,0.0,0.0,0.0,0.0,0.0
L,298.8,308.8,1991,20.7,59,4315.888571575122,10.0,1221.3,0,10248,S60247,0.0,0.0,0.0,0.0,0.0
L,299.1,308.2,1319,60.3,36,8328.959027270723,9.099999999999966,2170.8,0,10249,S60248,0.0,0.0,0.0,0.0,0.0
L,300.5,309.7,1887,24.3,28,4801.83012323239,9.199999999999989,680.4,0,10250,S60249,0.0,0.0,0.0,0.0,0.0
L,303.7,312.5,1433,53.6,185,8043.398727034923,8.800000000000011,9916.0,0,10251,S60250,0.0,0.0,0.0,0.0,0.0
M,303.0,311.1,1597,36.7,191,6137.614375587747,8.100000000000023,7009.700000000001,0,10252,S60251,0.0,0.0,0.0,0.0,0.0
H,300.7,309.5,2007,19.7,2,4140.399205945596,8.800000000000011,39.4,0,10253,S60252,0.0,0.0,0.0,0.0,0.0
L,296.2,306.8,1389,53.3,132,7752.790934602354,10.600000000000025,7035.599999999999,0,10254,S60253,0.0,0.0,0.0,0.0,0.0
L,297.5,308.7,1407,42.5,145,6261.979556767855,11.199999999999989,6162.5,0,10255,S60254,0.0,0.0,0.0,0.0,0.0
M,300.7,310.9,1486,38.9,106,6053.36733259398,10.199999999999989,4123.4,0,10256,S60255,0.0,0.0,0.0,0.0,0.0
L,299.7,309.6,1399,51.3,144,7515.600689256326,9.900000000000034,7387.2,0,10257,S60256,0.0,0.0,0.0,0.0,0.0
M,303.5,311.6,1573,34.0,134,5600.621943309644,8.100000000000023,4556.0,0,10258,S60257,0.0,0.0,0.0,0.0,0.0
M,298.4,309.4,1429,41.8,203,6255.141356758541,11.0,8485.4,0,10259,S60258,0.0,0.0,0.0,0.0,0.0
L,304.3,313.5,1452,41.5,15,6310.203004000459,9.199999999999989,622.5,0,10260,S60259,0.0,0.0,0.0,0.0,0.0
L,302.0,310.4,1895,23.2,161,4603.899314080722,8.399999999999977,3735.2,0,10261,S60260,0.0,0.0,0.0,0.0,0.0
L,301.3,310.8,1432,54.4,51,8157.752699625592,9.5,2774.4,0,10262,S60261,0.0,0.0,0.0,0.0,0.0
M,297.4,308.8,1359,48.7,220,6930.6989690109785,11.400000000000034,10714.0,0,10263,S60262,0.0,0.0,0.0,0.0,0.0
L,303.5,311.7,1620,31.0,141,5259.026102109314,8.199999999999989,4371.0,0,10264,S60263,0.0,0.0,0.0,0.0,0.0
L,303.8,312.6,1793,28.1,170,5276.1268381203545,8.800000000000011,4777.0,0,10265,S60264,0.0,0.0,0.0,0.0,0.0
L,303.5,312.0,1761,25.8,105,4757.816410155599,8.5,2709.0,0,10266,S60265,0.0,0.0,0.0,0.0,0.0
M,298.6,309.4,1774,27.5,154,5108.753253512603,10.799999999999956,4235.0,0,10267,S60266,0.0,0.0,0.0,0.0,0.0
L,298.7,309.7,1547,37.4,0,6058.85464776225,11.0,0.0,0,10268,S60267,0.0,0.0,0.0,0.0,0.0
M,301.9,310.9,1641,33.2,3,5705.257922625209,9.0,99.6,0,10269,S60268,0.0,0.0,0.0,0.0,0.0
M,296.9,307.8,1840,24.6,157,4740.0349957362805,10.900000000000034,3862.2,0,10270,S60269,0.0,0.0,0.0,0.0,0.0
L,300.1,310.1,1569,43.5,17,7147.280366549458,10.0,739.5,0,10271,S60270,0.0,0.0,0.0,0.0,0.0
H,298.5,307.9,1260,54.2,141,7151.521516631806,9.399999999999975,7642.200000000001,0,10272,S60271,0.0,0.0,0.0,0.0,0.0
M,301.9,310.9,1569,32.5,188,5339.922112939251,9.0,6110.0,0,10273,S60272,0.0,0.0,0.0,0.0,0.0
L,297.3,308.1,1506,36.0,150,5677.486243567474,10.800000000000011,5400.0,0,10274,S60273,0.0,0.0,0.0,0.0,0.0
M,301.1,311.1,1592,35.7,174,5951.6844503727925,10.0,6211.8,0,10275,S60274,0.0,0.0,0.0,0.0,0.0
L,301.5,310.5,1466,48.1,189,7384.271644360761,9.0,9090.9,0,10276,S60275,0.0,0.0,0.0,0.0,0.0
L,298.2,308.4,1512,34.9,181,5525.935813958303,10.199999999999989,6316.9,0,10277,S60276,0.0,0.0,0.0,0.0,0.0
L,304.2,313.3,1668,35.7,180,6235.810089963453,9.100000000000025,6426.000000000001,0,10278,S60277,0.0,0.0,0.0,0.0,0.0
